,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
54,-2.151087164042405,3.4822039832193115,1.5530732805784706,82.20820536,317.7014613,1.0,0.0,0.0,49.965,train,185922.0,50.0
55,-3.227170205532074,-0.27669355071582624,0.8315320347585244,70.273466815,100.045878415,1.0,0.0,0.0,49.965,train,185922.0,50.0
56,-2.8802978201953873,-2.4550810016074527,0.3592693624628697,110.854392305,112.548918615,1.0,0.0,0.0,49.965,train,185922.0,50.0
57,-3.7864110621194174,0.1895106370698311,2.091311710437618,163.09130095,417.668454,1.0,0.0,0.0,49.965,train,185922.0,50.0
58,-3.317166498260383,0.2436255755679716,5.5340144253942265,123.9361991,403.00352150000003,1.0,0.0,0.0,49.965,train,185922.0,50.0
59,-1.9155236354197682,0.8082159873432387,0.2272133857788007,170.4518183,401.97413715000005,1.0,0.0,0.0,49.965,train,185922.0,50.0
60,-3.2946566445872048,0.20148262316812202,4.25318121107732,103.997231555,328.64258346500003,1.0,0.0,0.0,49.965,train,185922.0,50.0
61,-3.9174272248571405,-2.3250291185283958,-0.08601505023467841,2648.4641650000003,2991.1837995435,0.0,0.0,1.0,49.179,train,189223.0,50.0
62,-3.5593097361237214,-1.7490549559005966,0.4358823266057126,2869.1402955000003,0.0058414855,0.0,0.0,1.0,49.179,train,189223.0,50.0
63,-3.5280420997115676,-0.4120083670766106,0.7007901457868303,1937.7964982,1009.0236544420001,0.0,0.0,1.0,49.179,train,189223.0,50.0
64,-3.512807031022926,-0.34198059110876294,0.9265462138138505,759.1502133500001,1009.0224592535001,0.0,0.0,1.0,49.179,train,189223.0,50.0
65,-3.7367010044158966,-1.4673631961264353,0.5291420461744417,1881.37139415,0.0025906955000000002,0.0,0.0,1.0,49.179,train,189223.0,50.0
66,-3.6900579051672224,-2.0330161814562127,1.5101250809806266,2461.9325355,0.004413216,0.0,0.0,1.0,49.179,train,189223.0,50.0
67,-3.544074667435079,-1.6790271799327494,0.6616383946327331,1690.49401065,0.004646297000000001,0.0,0.0,1.0,49.179,train,189223.0,50.0
68,-3.497431568186405,-2.2446801652625266,1.6426214294389179,2271.055152,0.0064688175,0.0,0.0,1.0,49.179,train,189223.0,50.0
69,-4.110053561837957,-2.1133651347220828,-0.21851139869296982,2839.3415485,2991.1817439419997,0.0,0.0,1.0,49.179,train,189223.0,50.0
70,-3.696407527824308,-1.5619443627489262,3.0982826976831617,1004.78718815,1591.8472417535,0.0,0.0,1.0,49.179,train,189223.0,50.0
71,-3.7116425965129496,-1.6319721387167747,2.872526629656136,2183.433473,1591.848436942,0.0,0.0,1.0,49.179,train,189223.0,50.0
72,-3.2887590128014548,0.9212216663309887,0.8815174345263932,2930.8315844999997,0.004342657,0.0,0.0,1.0,49.179,train,189223.0,50.0
73,-3.2484655362098662,0.8266404997084972,3.4506580860351135,2054.2473785,1591.848993715,0.0,0.0,1.0,49.179,train,189223.0,50.0
74,-3.2268808448641395,0.4255964569690582,2.088256537359598,2332.746441,0.004969988999999999,0.0,0.0,1.0,49.179,train,189223.0,50.0
75,-3.6468765015348743,0.3452475037031883,0.3596200576860026,2710.1554539999997,2991.1823007149997,0.0,0.0,1.0,49.179,train,189223.0,50.0
76,-4.094818493149315,-2.0433373587542354,0.007244669334050605,1660.69526365,2991.1805487535,0.0,0.0,1.0,49.179,train,189223.0,50.0
77,-3.5190162595321324,-1.843636122523088,3.0050229781144266,1992.5560895,1591.8504925435,0.0,0.0,1.0,49.179,train,189223.0,50.0
78,-3.466163931774252,-0.9076335764385405,1.9075292486200353,1339.7113547,1009.024281774,0.0,0.0,1.0,49.179,train,189223.0,50.0
79,-3.335415762730751,-0.6236723508829248,0.8332864942451212,1746.9191147000001,1009.0257100435,0.0,0.0,1.0,49.179,train,189223.0,50.0
80,-3.649764428575633,-2.1275973480787047,4.07926573248934,1585.3483295,1591.849064274,0.0,0.0,1.0,49.179,train,189223.0,50.0
81,-3.305747059011933,0.45627684121111933,0.5103497237799761,299.0,483.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
82,-2.916546414682825,-0.42474080129912334,-0.46747140977716173,292.0,474.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
83,-2.345752226293003,0.04585238033225948,-0.5032763534677168,152.5,209.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
84,-2.883849077478654,-1.7222968666131195,1.6831025104331978,183.5,250.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
85,-2.5329810879883468,-1.3562747978478276,-0.3569642850925027,91.5,113.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
86,-2.4471049847947186,-1.6208349707763556,0.5753992591632285,146.5,199.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
87,-3.249416390325062,-1.5263520434585531,1.7617674904708496,163.0,214.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
88,-2.937221260072677,0.44442476490383614,1.0577448379330012,434.0,962.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
89,-2.28841183502844,-0.2142254029582588,0.032946246835080614,119.5,162.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
90,-2.4891840541032906,-0.2888822960516155,-0.43367299642286794,460.0,1006.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
91,-2.2125890064653757,-2.9482843166652737,0.5306055803176473,269.0,286.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
92,-2.4892277019885234,1.0066987902089077,0.19316419377037486,150.0,232.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
93,-3.2959501161021967,-0.7862804804264034,1.1764544417956104,296.0,478.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
94,-2.182148956034754,-0.5880936143598119,0.3107883241465977,125.0,190.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
95,-2.5929062149392523,-0.6190065387133936,0.012978224727054247,150.0,203.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
96,-3.0421574443557162,-1.2315821909574591,0.14428475308609925,387.0,882.0,1.0,1.0,1.0,49.12,train,194354.0,50.0
97,-1.5098656575252236,1.0204177464803377,-0.3654639896691086,374.5,877.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
98,-2.556255540458585,0.9007101573712711,0.4566227019721962,154.5,210.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
99,-2.1822772724893413,0.026957790250310785,-0.1473936405039486,262.0,283.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
100,-2.774873447532385,1.753751913167547,0.3651970057293503,209.0,294.5,1.0,1.0,1.0,49.12,train,194354.0,50.0
101,-2.1481220403647883,4.085017210574164,-0.12387521312189798,327.48935725,314.69975155,1.0,0.0,1.0,47.991,train,194747.0,50.0
102,-2.49612445168973,-2.6960915144031716,-0.2012472503654736,294.3857577,318.231845,1.0,0.0,1.0,47.991,train,194747.0,50.0
103,-2.0573617187260695,1.7784224445586783,-0.39084721383255333,346.5961529,492.31611735,1.0,0.0,1.0,47.991,train,194747.0,50.0
104,-1.6018561033759846,1.2629967124460393,-0.8413087837507369,248.0348692,335.0237445,1.0,0.0,1.0,47.991,train,194747.0,50.0
105,-2.6584168628842186,-0.9785336258393048,0.15830954046115472,168.76683989999998,120.76775809,1.0,0.0,1.0,47.991,train,194747.0,50.0
106,-2.7396675161206927,-0.6087374846222529,-0.12096848813124489,301.8135323,390.53264455,1.0,0.0,1.0,47.991,train,194747.0,50.0
107,-2.899300695790055,-1.6085754148007376,0.10450918136366469,143.7885057,90.41177532,1.0,0.0,1.0,47.991,train,194747.0,50.0
108,-2.329878596112475,0.8608452860222849,0.10399937508158252,300.04730535,307.10269535,1.0,0.0,1.0,47.991,train,194747.0,50.0
109,-2.5875515521139,1.7372530695885238,0.08165486910142189,133.5314189,82.87635809,1.0,0.0,1.0,47.991,train,194747.0,50.0
