,r2,ccc,pearson,mape,smape,mse,repeat,fold
87,-0.200531,0.41084436,0.4171532,11.7007,6.0249906,72.744225,8,7
88,0.17970586,0.5261412,0.5326567,10.13382,5.0699973,49.70439,8,8
89,0.18716884,0.6304323,0.6341202,8.575061,4.4147825,49.252186,8,9
90,0.1284889,0.6361788,0.6469569,8.753665,4.3892455,52.807804,9,0
91,0.49394011,0.7134864,0.7263791,7.048171,3.5961337,30.66388,9,1
92,-1.2141888,0.2990816,0.32564342,17.095896,8.926177,134.16518,9,2
93,-1.0103848,0.218798,0.23992191,15.569555,8.28766,121.816,9,3
94,-1.6769366,0.06563391,0.06928156,18.36212,9.372835,162.20464,9,4
95,-0.23555434,0.4725413,0.48101225,11.214665,5.8277793,74.86641,9,5
96,-1.1607642,0.1988393,0.21478382,16.813473,8.773679,130.92801,9,6
97,-0.7751192,0.4083838,0.4449276,15.190283,8.076319,107.56046,9,7
98,0.052938223,0.54073775,0.5429798,10.392252,5.288114,57.385674,9,8
99,-0.27145457,0.4009722,0.40825665,12.136396,6.2672625,77.04173,9,9
