,r2,ccc,pearson,mape,smape,mse,repeat,fold
44,-6.415283,0.13731016,0.4363718,24.449516,14.31471,290.2193,4,4
45,-4.205378,0.20136656,0.50718474,20.337439,11.599628,203.72806,4,5
46,-5.184538,0.14665236,0.4429685,22.457998,12.922369,242.05042,4,6
47,-4.474006,0.22328359,0.55125046,21.097559,12.138138,214.24162,4,7
48,-13.384018,0.023418365,0.11195525,35.330383,21.7207,562.9616,4,8
49,-0.31349277,0.44372544,0.52597433,9.047278,4.757286,51.407475,4,9
50,-3.2268467,0.16207305,0.36762255,17.822937,9.954346,165.43031,5,0
51,-9.984717,0.10813453,0.3682425,28.84669,17.758284,429.91983,5,1
52,-8.158041,0.13877882,0.4740205,27.627703,16.593645,358.42737,5,2
53,-3.422216,0.27015337,0.5278349,18.334461,10.386519,173.07668,5,3
54,-5.9529634,0.16035937,0.43137184,23.483162,13.763228,272.12503,5,4
55,-0.8440198,0.40118492,0.5518506,11.036858,5.897697,72.171234,5,5
56,-1.7443511,0.2659077,0.4480569,13.783327,7.4967356,107.40841,5,6
57,-5.367363,0.17011641,0.43963647,22.095327,12.850985,249.20581,5,7
58,-19.1655,0.010027664,0.042461418,42.32586,26.357758,789.23724,5,8
59,-0.8914648,0.4244323,0.5719096,11.314128,6.082013,74.028145,5,9
60,-6.6442327,0.13022771,0.41207135,24.526176,14.469953,299.17993,6,0
61,-1.3823516,0.36964294,0.59522754,13.005057,7.109014,93.24046,6,1
62,-6.9191628,0.11221261,0.27322552,25.400156,14.575334,309.94016,6,2
63,-6.0368185,0.20655993,0.5358472,23.306776,13.853388,275.40695,6,3
64,-2.3675723,0.28983292,0.5378262,16.421207,9.062523,131.80003,6,4
65,-69.62598,0.0067009744,0.08823246,79.72915,69.50446,2764.159,6,5
66,-4.736582,0.21937637,0.54375756,21.410873,12.383991,224.51831,6,6
67,-6.5560412,0.12362581,0.35966173,23.729551,14.023733,295.7283,6,7
68,-22.245937,0.028032426,0.1551264,45.395382,29.783371,909.7994,6,8
69,-0.5478822,0.39160123,0.5119819,9.812146,5.2144313,60.581005,6,9
70,-9.932996,0.05221305,0.13446201,30.139715,17.308327,427.89554,7,0
71,-8.012123,0.12458999,0.43946418,26.671913,15.981564,352.71643,7,1
72,-2.3469317,0.29064116,0.52346534,15.507867,8.627414,130.9922,7,2
73,-8.907706,0.1368119,0.395833,28.379826,17.2554,387.76776,7,3
74,-3.8298821,0.13946097,0.3996669,19.48714,10.964302,189.0319,7,4
75,-9.657344,0.13407524,0.4715376,29.325672,18.083591,417.10706,7,5
76,-8.437326,0.0948985,0.30630782,28.040218,16.716698,369.35803,7,6
77,-0.8645836,0.41689017,0.5684643,11.136345,5.9794955,72.97607,7,7
78,-8.000174,0.13499215,0.4478713,26.696947,16.088188,352.24875,7,8
79,-0.52661383,0.4959132,0.6112142,9.963005,5.2963095,59.748604,7,9
80,-3.0858388,0.24425101,0.48461378,17.703606,9.9224,159.91153,8,0
81,-3.2465396,0.30952927,0.60618293,18.000273,10.264713,166.20103,8,1
82,-3.9124484,0.25885123,0.5278998,19.293941,11.11417,192.26338,8,2
83,-2.1053886,0.2611367,0.4018248,13.9073105,7.6508574,121.53869,8,3
84,-4.8490033,0.25806928,0.59355253,21.276966,12.465024,228.91826,8,4
85,-8.729224,0.10610041,0.3254611,27.059168,16.50023,380.78232,8,5
86,-4.0758615,0.23078156,0.5810794,20.703587,11.790795,198.65903,8,6
87,-3.171198,0.2384561,0.51675475,18.26443,10.241387,163.25232,8,7
88,-20.813395,0.018648885,0.16193701,43.211876,28.502438,853.73254,8,8
89,-1.101963,0.3718758,0.5367299,11.970722,6.43272,82.266624,8,9
90,-7.151127,0.121570036,0.36837578,25.408386,15.044472,319.01877,9,0
91,-4.118824,0.23025492,0.50282425,19.816265,11.343222,200.3405,9,1
92,-6.11854,0.20173158,0.4766081,23.546558,13.927284,278.60538,9,2
93,-0.33694804,0.5338157,0.62915426,9.063517,4.7807593,52.325466,9,3
94,-2.834682,0.23936063,0.45975843,17.094725,9.524964,150.08176,9,4
95,-1.3611782,0.35978577,0.53060925,12.878352,6.9898615,92.41178,9,5
96,-1.9835842,0.2873543,0.4806607,14.33879,7.8709326,116.77151,9,6
97,-7.716154,0.11766702,0.3736019,25.948957,15.502986,341.1328,9,7
98,-11.766236,0.10697352,0.46661565,33.11046,20.605488,499.64487,9,8
99,-0.9151964,0.41491327,0.56516236,11.3799305,6.0994887,74.95695,9,9
