FOLD 1 
,actual,predicted,repeat,fold
27,49.117,53.361652,0,4
28,51.967,47.64394,0,4
29,61.596,56.685894,0,4
30,47.963,51.782406,0,4
31,55.698,56.08731,0,4
32,63.145,55.21077,0,4
33,64.02,70.05436,0,4
34,66.914,71.28727,0,4
35,66.18,57.966396,0,4
36,68.51,61.500336,0,4
37,59.879,40.37246,0,4
38,50.02,60.327003,0,4
39,66.718,60.177605,0,4
40,61.596,63.897686,0,4
41,54.665,53.06885,0,4
42,63.145,46.85346,0,4
43,66.18,66.47968,0,4
44,66.914,62.930374,0,4
45,64.15,64.677315,0,4
46,49.12,59.386944,0,4
47,63.145,48.4328,0,4
48,54.665,56.06803,0,4
49,50.72,53.86057,0,4
50,53.068,58.33067,0,4
51,51.967,48.851463,0,4
52,64.15,63.54639,0,4
53,68.51,58.27174,0,4
54,67.32,65.86531,0,4
55,47.963,51.388203,0,4
56,68.5,78.206245,0,4
57,46.553,55.081314,0,4
58,53.068,58.423855,0,4
59,64.15,66.450485,0,4
60,68.5,83.87078,0,4
61,47.991,56.737106,0,4
62,68.5,63.242863,0,4
63,47.963,52.064915,0,4
64,66.718,71.19934,0,4
65,68.51,60.52115,0,4
66,50.72,54.461884,0,4
67,66.718,65.644936,0,4
68,61.596,54.5285,0,4
69,49.157,58.35819,0,4
70,54.665,56.02001,0,4
71,50.363,60.01254,0,4
72,54.665,58.04217,0,4
73,47.991,53.89771,0,4
74,66.914,70.77537,0,4
75,59.879,70.66433,0,4
76,64.02,65.209816,0,4
77,52.035,56.967564,0,4
78,50.1,45.412693,0,4
79,50.363,56.627445,0,4
80,66.54,67.33691,0,4
81,64.15,65.842155,0,4
82,61.596,59.484524,0,4
83,49.12,50.988693,0,4

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.24172479,0.60998917,0.612922,9.574229,4.774401,45.946457,0,4

FOLD 6 
,actual,predicted,repeat,fold
0,49.117,47.858356,0,5
1,56.844,55.09236,0,5
2,50.1,39.99171,0,5
3,50.1,49.61793,0,5
4,46.553,50.34048,0,5
5,68.5,51.21414,0,5
6,49.199,46.215416,0,5
7,47.991,51.4464,0,5
8,46.553,48.69308,0,5
9,54.665,53.98261,0,5
10,49.199,45.597782,0,5
11,66.718,64.60765,0,5
12,66.8,65.05841,0,5
13,52.035,53.075058,0,5
14,55.698,56.52335,0,5
15,64.728,56.80698,0,5
16,61.596,54.555004,0,5
17,66.718,61.71519,0,5
18,68.51,54.950268,0,5
19,50.02,53.199955,0,5
20,63.145,53.28835,0,5
21,50.72,57.194565,0,5
22,50.02,53.022217,0,5
23,47.991,53.12257,0,5
24,51.967,54.934315,0,5
25,67.32,65.396034,0,5
26,67.515,63.132137,0,5
27,49.117,49.426388,0,5
28,51.967,54.11395,0,5
29,61.596,55.959263,0,5
30,47.963,47.320747,0,5
31,55.698,54.031666,0,5
32,63.145,61.79165,0,5
33,64.02,63.956287,0,5
34,66.914,65.02013,0,5
35,66.18,54.570374,0,5
36,68.51,61.81078,0,5
37,59.879,35.721146,0,5
38,50.02,58.036537,0,5
39,66.718,60.068302,0,5
40,61.596,57.185772,0,5
41,54.665,52.42578,0,5
42,63.145,50.276024,0,5
43,66.18,65.30108,0,5
44,66.914,59.111515,0,5
45,64.15,62.44166,0,5
46,49.12,54.719585,0,5
47,63.145,48.83517,0,5
48,54.665,54.000847,0,5
49,50.72,54.81709,0,5
50,53.068,55.7021,0,5
51,51.967,48.70831,0,5
52,64.15,61.738224,0,5
53,68.51,57.456467,0,5
54,67.32,67.88763,0,5
55,47.963,43.297012,0,5
56,68.5,73.83322,0,5
57,46.553,50.73354,0,5
58,53.068,54.875927,0,5
59,64.15,63.375248,0,5
60,68.5,76.58848,0,5
61,47.991,51.950966,0,5
62,68.5,57.257862,0,5
63,47.963,40.611797,0,5
64,66.718,66.89325,0,5
65,68.51,56.647846,0,5
66,50.72,53.894985,0,5
67,66.718,62.481518,0,5
68,61.596,53.495926,0,5
69,49.157,52.719707,0,5
70,54.665,53.570717,0,5
71,50.363,55.72645,0,5
72,54.665,54.37362,0,5
73,47.991,50.8537,0,5
74,66.914,64.77549,0,5
75,59.879,63.689137,0,5
76,64.02,59.01109,0,5
77,52.035,53.893703,0,5
78,50.1,52.11108,0,5
79,50.363,57.548016,0,5
80,66.54,62.789013,0,5
81,64.15,62.00152,0,5
82,61.596,56.966595,0,5
83,49.12,46.358906,0,5

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.34262407,0.650509,0.68004227,7.9389052,4.1577764,39.832626,0,5

FOLD 7 
,actual,predicted,repeat,fold
0,49.117,54.368393,0,6
1,56.844,56.48988,0,6
2,50.1,49.15282,0,6
3,50.1,45.74753,0,6
4,46.553,53.24701,0,6
5,68.5,55.330917,0,6
6,49.199,52.8011,0,6
7,47.991,56.37657,0,6
8,46.553,53.116333,0,6
9,54.665,57.149284,0,6
10,49.199,51.56731,0,6
11,66.718,67.277336,0,6
12,66.8,67.26637,0,6
13,52.035,59.60899,0,6
14,55.698,57.360035,0,6
15,64.728,61.202232,0,6
16,61.596,57.6239,0,6
17,66.718,64.34024,0,6
18,68.51,60.99741,0,6
19,50.02,58.263817,0,6
20,63.145,53.33255,0,6
21,50.72,58.469223,0,6
22,50.02,56.683605,0,6
23,47.991,52.452835,0,6
24,51.967,53.788223,0,6
25,67.32,67.172745,0,6
26,67.515,65.52598,0,6
27,49.117,53.955032,0,6
28,51.967,52.749508,0,6
29,61.596,55.28669,0,6
30,47.963,48.013535,0,6
31,55.698,54.094368,0,6
32,63.145,58.714035,0,6
33,64.02,67.54422,0,6
34,66.914,70.02811,0,6
35,66.18,55.780518,0,6
36,68.51,63.626472,0,6
37,59.879,40.82541,0,6
38,50.02,59.2181,0,6
39,66.718,60.48803,0,6
40,61.596,62.309303,0,6
41,54.665,53.883896,0,6
42,63.145,51.09539,0,6
43,66.18,67.0832,0,6
44,66.914,63.65311,0,6
45,64.15,63.83695,0,6
46,49.12,56.93184,0,6
47,63.145,45.2201,0,6
48,54.665,54.383057,0,6
49,50.72,58.118813,0,6
50,53.068,54.364212,0,6
51,51.967,47.76918,0,6
52,64.15,61.586826,0,6
53,68.51,59.740486,0,6
54,67.32,68.6272,0,6
55,47.963,42.244698,0,6
56,68.5,70.19726,0,6
57,46.553,52.470093,0,6
58,53.068,56.53335,0,6
59,64.15,64.48539,0,6
60,68.5,74.41091,0,6
61,47.991,51.783493,0,6
62,68.5,58.116566,0,6
63,47.963,45.70169,0,6
64,66.718,71.48291,0,6
65,68.51,66.23927,0,6
66,50.72,59.10979,0,6
67,66.718,66.947685,0,6
68,61.596,56.347088,0,6
69,49.157,56.12271,0,6
70,54.665,55.639977,0,6
71,50.363,58.42091,0,6
72,54.665,57.366203,0,6
73,47.991,55.077477,0,6
74,66.914,69.21248,0,6
75,59.879,67.09956,0,6
76,64.02,63.976273,0,6
77,52.035,54.89658,0,6
78,50.1,55.83673,0,6
79,50.363,61.315933,0,6
80,66.54,68.08185,0,6
81,64.15,64.43585,0,6
82,61.596,58.803867,0,6
83,49.12,51.34398,0,6

,r2,ccc,pearson,mape,smape,mse,repeat,fold
