,actual,predicted,repeat,fold
259,63.145,55.8986,0,2
260,50.1,48.024517,0,2
261,50.363,50.046307,0,2
262,67.515,65.93959,0,2
263,67.32,65.31778,0,2
264,47.963,47.015656,0,2
265,68.5,65.611496,0,2
266,54.665,54.064552,0,2
267,47.991,49.14138,0,2
268,64.15,64.7158,0,2
269,49.157,50.02359,0,2
270,59.879,56.17915,0,2
271,61.596,55.128757,0,2
272,66.914,62.4411,0,2
273,49.157,59.53369,0,2
274,67.32,65.866165,0,2
275,68.51,63.685078,0,2
276,63.145,59.02111,0,2
277,61.596,55.96768,0,2
278,64.15,64.60795,0,2
279,55.698,55.516838,0,2
280,61.596,59.042366,0,2
281,61.596,46.609764,0,2
282,53.068,54.644623,0,2
283,68.5,67.46202,0,2
284,50.02,49.359837,0,2
285,66.914,65.4861,0,2
286,50.72,54.307095,0,2
287,51.967,56.87966,0,2
288,49.199,51.283585,0,2
289,67.515,65.80481,0,2
290,47.963,46.44916,0,2
291,52.035,57.208057,0,2
292,49.199,47.736855,0,2
293,50.363,49.9862,0,2
294,49.297,58.58895,0,2
295,66.54,65.96961,0,2
296,59.879,58.88624,0,2
297,64.15,63.974335,0,2
298,46.553,48.471207,0,2
299,50.02,49.704826,0,2
300,49.12,48.105698,0,2
301,61.596,59.206116,0,2
302,55.698,55.05735,0,2
303,47.991,47.529263,0,2
304,63.145,55.02848,0,2
305,66.718,66.27074,0,2
306,50.02,49.693695,0,2
307,53.068,54.393646,0,2
308,67.515,65.74254,0,2
309,67.32,62.500694,0,2
310,64.02,56.16439,0,2
311,47.991,47.3444,0,2
312,68.51,62.164604,0,2
313,66.18,66.40936,0,2
314,53.068,49.706715,0,2
315,46.553,47.339798,0,2
316,50.72,51.947502,0,2
317,66.718,65.92337,0,2
318,64.728,64.253586,0,2
319,56.844,55.529396,0,2
320,66.54,65.96807,0,2
321,50.72,49.315277,0,2
322,64.02,57.972992,0,2
323,47.991,47.377956,0,2
324,55.698,60.68963,0,2
325,66.8,65.632965,0,2
326,52.035,53.54058,0,2
327,66.914,65.83356,0,2
328,46.553,54.35787,0,2
329,61.596,57.076313,0,2
330,68.51,64.19121,0,2
331,54.665,47.22901,0,2
332,50.02,49.169518,0,2
333,55.698,55.405334,0,2
334,66.8,64.154236,0,2
335,59.879,60.81953,0,2
336,61.596,49.654137,0,2
337,49.12,47.451683,0,2
338,67.32,65.705536,0,2
339,68.5,68.084335,0,2
340,50.1,48.27571,0,2
341,51.967,55.566,0,2
342,49.117,47.24418,0,2
343,54.665,58.11729,0,2
344,63.145,59.33736,0,2
345,49.117,47.258434,0,2
346,49.12,51.739326,0,2
347,52.035,54.95009,0,2
348,61.596,52.956516,0,2
349,68.51,64.67827,0,2
350,47.963,45.93294,0,2
351,68.51,61.439255,0,2
352,54.665,57.33579,0,2
353,68.5,67.77959,0,2
354,49.199,51.384254,0,2
355,66.718,64.32019,0,2
356,52.035,55.496758,0,2
357,61.596,58.400818,0,2
358,49.179,53.94359,0,2
359,50.1,57.40345,0,2
360,64.02,54.129227,0,2
361,54.665,56.31043,0,2
362,66.914,63.560127,0,2
363,47.963,47.226753,0,2
364,66.914,65.30888,0,2
365,50.363,49.739845,0,2
366,66.718,65.78548,0,2
367,54.665,52.581863,0,2
368,66.718,66.27266,0,2
369,51.967,59.705017,0,2
370,63.145,57.33905,0,2
371,51.967,51.148293,0,2
372,54.665,59.73901,0,2
373,66.18,59.026016,0,2
374,64.15,62.919807,0,2
375,47.963,47.14585,0,2
376,66.718,66.04597,0,2
377,50.72,49.74418,0,2
378,49.12,48.507652,0,2
379,49.199,53.222813,0,2
380,49.199,47.49587,0,2
381,64.02,61.694668,0,2
382,54.665,55.75942,0,2
383,50.1,49.46181,0,2
384,61.596,58.003296,0,2
385,54.665,52.94023,0,2
386,54.665,50.056355,0,2
387,66.8,65.06271,1,0
388,63.145,57.189617,1,0
389,50.1,50.333267,1,0
390,50.363,51.39752,1,0
391,67.515,66.49869,1,0
392,67.32,65.09183,1,0
393,47.963,48.257504,1,0
394,68.5,65.334465,1,0
395,54.665,54.283802,1,0
396,47.991,49.041218,1,0
397,64.15,64.93696,1,0
398,49.157,49.840057,1,0
399,59.879,57.3761,1,0
400,61.596,55.827686,1,0
401,66.914,59.197876,1,0
402,49.157,57.18277,1,0
403,67.32,66.546196,1,0
404,68.51,61.444744,1,0
405,63.145,59.866184,1,0
406,61.596,55.800068,1,0
407,64.15,64.949356,1,0
408,55.698,55.80853,1,0
409,61.596,59.93304,1,0
410,61.596,48.03123,1,0
411,53.068,56.08041,1,0
412,68.5,66.555305,1,0
413,50.02,49.45773,1,0
414,66.914,65.4914,1,0
415,50.72,54.521282,1,0
416,51.967,58.741867,1,0
417,49.199,51.655186,1,0
418,67.515,65.69127,1,0
419,47.963,47.88079,1,0
420,52.035,57.83363,1,0
421,49.199,49.344734,1,0
422,50.363,50.579807,1,0
423,49.297,57.27281,1,0
424,66.54,66.358246,1,0
425,59.879,53.025417,1,0
426,64.15,64.20621,1,0
427,46.553,48.88807,1,0
428,50.02,49.42604,1,0
429,49.12,49.371883,1,0
430,61.596,59.545322,1,0
431,55.698,54.81036,1,0
432,47.991,47.96385,1,0
433,63.145,57.105133,1,0
434,66.718,66.81624,1,0
435,50.02,48.99439,1,0
436,53.068,55.65432,1,0
437,67.515,66.74231,1,0
438,67.32,63.38863,1,0
439,64.02,57.807446,1,0
440,47.991,48.555866,1,0
441,68.51,63.760918,1,0
442,66.18,66.47508,1,0
443,53.068,51.067646,1,0
444,46.553,48.598118,1,0
445,50.72,53.15062,1,0
446,66.718,66.68777,1,0
447,64.728,64.84726,1,0
448,56.844,56.004642,1,0
449,66.54,65.7446,1,0
450,50.72,48.463947,1,0
451,64.02,59.73635,1,0
452,47.991,48.516087,1,0
453,55.698,56.92863,1,0
454,66.8,65.80372,1,0
455,52.035,54.310116,1,0
456,66.914,65.84026,1,0
457,46.553,54.3957,1,0
458,61.596,57.034374,1,0
459,68.51,64.45355,1,0
460,54.665,47.619762,1,0
461,50.02,48.22401,1,0
462,55.698,54.894123,1,0
463,66.8,64.65442,1,0
464,59.879,60.581493,1,0
465,61.596,51.289562,1,0
466,49.12,47.93647,1,0
467,67.32,66.44817,1,0
468,68.5,67.692535,1,0
469,50.1,47.837223,1,0
470,51.967,57.996254,1,0
471,49.117,48.3862,1,0
472,54.665,56.43293,1,0
473,63.145,61.02644,1,0
474,49.117,48.439598,1,0
475,49.12,53.387924,1,0
476,52.035,54.588593,1,0
477,61.596,53.63692,1,0
478,68.51,64.44118,1,0
479,47.963,47.24668,1,0
480,68.51,61.59694,1,0
481,54.665,58.034985,1,0
482,68.5,67.235435,1,0
483,49.199,52.115696,1,0
484,66.718,64.71248,1,0
485,52.035,56.261147,1,0
486,61.596,57.721615,1,0
487,49.179,49.187305,1,0
488,50.1,56.504818,1,0
489,64.02,51.911648,1,0
490,54.665,55.677933,1,0
491,66.914,64.165276,1,0
492,47.963,48.213696,1,0
493,66.914,65.63518,1,0
494,50.363,50.741844,1,0
495,66.718,66.88316,1,0
496,54.665,53.27517,1,0
497,66.718,66.53688,1,0
498,51.967,61.423893,1,0
499,63.145,58.941837,1,0
500,51.967,52.614994,1,0
501,54.665,59.749928,1,0
502,66.18,59.08862,1,0
503,64.15,60.989113,1,0
504,47.963,48.582664,1,0
505,66.718,66.65743,1,0
506,50.72,47.832504,1,0
507,49.12,49.64078,1,0
508,49.199,53.48978,1,0
509,49.199,48.263706,1,0
510,64.02,63.245693,1,0
511,54.665,56.171474,1,0
512,50.1,50.08407,1,0
513,61.596,58.01114,1,0
514,54.665,53.079586,1,0
515,54.665,50.68243,1,0
516,66.8,65.03432,1,1
517,63.145,56.178707,1,1
518,50.1,48.80872,1,1
519,50.363,51.40717,1,1
520,67.515,66.32826,1,1
521,67.32,65.79602,1,1
522,47.963,47.664566,1,1
523,68.5,63.98509,1,1
524,54.665,54.994972,1,1
525,47.991,52.59683,1,1
526,64.15,65.43537,1,1
527,49.157,50.01338,1,1
528,59.879,57.846554,1,1
529,61.596,56.309055,1,1
530,66.914,66.4882,1,1
531,49.157,58.82526,1,1
532,67.32,66.567535,1,1
533,68.51,62.21757,1,1
534,63.145,59.118214,1,1
535,61.596,56.03449,1,1
536,64.15,65.0233,1,1
537,55.698,55.76111,1,1
538,61.596,59.15159,1,1
