,actual,predicted
35,63.145,44.89869
36,61.596,62.099945
37,52.035,52.988777
38,55.698,59.798183
39,50.1,31.380903
40,49.199,59.21518
41,66.718,65.28158
42,52.035,62.10802
43,52.035,52.644665
44,51.967,38.38297
45,53.068,54.59901
46,65.66,67.4499
47,65.66,68.45342
48,67.32,67.9066
49,66.54,60.36168
50,46.553,42.69119
51,67.32,65.00797
52,52.035,64.76738
53,66.718,63.41144
54,66.54,53.316353
55,64.728,56.235542
56,49.157,53.517345
57,64.15,56.672222
58,66.18,59.61774
59,66.914,66.60148
60,49.157,53.572376
61,68.51,61.402462
62,66.718,62.183254
63,64.15,68.88549
64,68.51,65.74688
65,66.54,60.7974
66,61.596,63.774204
67,51.967,38.933228
68,50.565,64.57111
69,68.5,71.09139
70,61.596,67.271095
71,68.5,51.99782
72,50.72,60.989666
73,50.02,64.904915
74,64.02,47.178654
75,47.991,62.756363
76,49.199,58.13451
77,63.145,40.718952
78,59.879,89.346436
79,50.565,63.731564
80,50.72,59.111664
81,49.157,51.75074
82,49.297,59.35352
83,49.12,65.8765
84,46.553,56.07066
85,47.991,62.764473
86,53.068,53.465286
87,50.565,68.5471
88,52.035,58.190086
89,67.32,58.129566
90,68.51,58.133297
91,47.991,59.37662
92,54.665,62.813774
93,54.665,60.220554
94,67.32,64.30427
95,64.15,61.817867
96,47.991,66.97167
97,56.844,56.961693
98,66.18,64.012215
99,62.028,51.611774
100,54.665,61.191463
101,66.718,65.831375
102,51.967,38.78105
103,51.967,31.465767
104,49.117,56.67184
105,46.553,52.612064
106,47.991,64.81826
107,66.914,64.1295
108,68.51,60.19275
109,50.363,27.447498
110,59.879,104.765656
111,49.199,58.058346
112,61.596,68.49854
113,64.15,59.338642
114,62.028,54.37418
115,63.145,43.06694
116,47.963,44.26299
117,49.965,58.17977
118,49.12,59.57423
119,67.32,61.699936
120,67.32,64.74473
121,51.967,38.635662
122,49.199,68.00873
123,59.879,70.27141
124,67.32,66.90175
125,55.698,57.508755
126,50.72,66.91244
127,50.72,52.349937
128,49.965,48.44115
0,64.15,62.656273
1,66.54,60.471428
2,64.15,61.04503
3,64.15,60.617416
4,54.665,60.699028
5,47.963,45.56499
6,53.068,56.055576
7,54.665,61.183857
8,66.18,59.85933
9,56.844,56.65576
10,65.66,62.373146
11,63.145,43.000225
12,64.02,60.3894
13,54.665,60.934498
14,49.12,66.40352
15,49.117,56.84652
16,67.32,61.675846
17,49.199,61.137753
18,66.914,68.858025
19,52.035,52.94355
20,68.51,52.13989
21,49.179,31.784313
22,61.596,55.445324
23,50.363,56.91418
24,50.02,66.56091
25,50.1,35.332172
26,68.5,49.84197
27,61.596,59.93924
28,56.844,58.85176
29,50.1,16.159561
30,63.145,44.918972
31,50.1,25.80817
32,64.15,62.84413
33,67.515,59.094383
34,50.72,55.99964
35,63.145,44.519264
36,61.596,60.731995
37,52.035,48.475445
38,55.698,61.69046
39,50.1,17.23187
40,49.199,59.078342
41,66.718,64.20966
42,52.035,60.13223
43,52.035,47.65477
44,51.967,36.519444
45,53.068,50.04365
46,65.66,64.9621
47,65.66,66.43004
48,67.32,66.20194
49,66.54,58.861343
50,46.553,35.514023
51,67.32,62.93571
52,52.035,63.47546
53,66.718,61.001816
54,66.54,54.96464
55,64.728,56.76475
56,49.157,52.731556
57,64.15,58.735744
58,66.18,58.058697
59,66.914,66.14018
60,49.157,46.970596
61,68.51,63.27373
62,66.718,60.506733
63,64.15,65.500885
64,68.51,65.14038
65,66.54,58.833237
66,61.596,63.060925
67,51.967,41.998055
68,50.565,62.455822
69,68.5,59.316235
70,61.596,66.307274
71,68.5,47.794445
72,50.72,58.960865
73,50.02,63.72232
74,64.02,48.18724
75,47.991,62.647682
76,49.199,54.173195
77,63.145,42.547607
78,59.879,42.349483
79,50.565,66.10096
80,50.72,58.46245
81,49.157,57.844837
82,49.297,56.57969
83,49.12,65.93961
84,46.553,55.55961
85,47.991,60.299072
86,53.068,51.509964
87,50.565,65.8659
88,52.035,56.17369
89,67.32,50.09486
90,68.51,58.104153
91,47.991,57.609303
92,54.665,61.173916
93,54.665,58.801773
94,67.32,61.596344
95,64.15,61.198986
96,47.991,66.47869
97,56.844,57.97848
98,66.18,62.54472
99,62.028,51.701035
100,54.665,61.268497
101,66.718,64.041115
102,51.967,36.601284
103,51.967,28.222862
104,49.117,56.736855
105,46.553,48.71605
106,47.991,62.612545
107,66.914,62.256287
108,68.51,58.43541
109,50.363,17.278105
110,59.879,79.80079
111,49.199,54.784588
112,61.596,67.05601
113,64.15,59.90389
114,62.028,54.345745
115,63.145,44.96415
116,47.963,45.323154
117,49.965,58.197903
118,49.12,55.214573
119,67.32,58.74832
120,67.32,63.153667
121,51.967,38.51348
122,49.199,67.32951
123,59.879,50.999996
124,67.32,63.96083
125,55.698,57.255806
126,50.72,64.37101
127,50.72,49.24659
128,49.965,43.063812
0,64.15,65.98733
