True_Label,Predicted_Label,Class_Probabilities
2,2,"[np.float32(1.524001e-06), np.float32(2.8280813e-06), np.float32(0.99996495), np.float32(2.8962395e-05), np.float32(1.6604359e-06)]"
3,3,"[np.float32(3.3379212e-05), np.float32(2.4126484e-05), np.float32(0.00013311711), np.float32(0.9997167), np.float32(9.255086e-05)]"
4,4,"[np.float32(8.904713e-07), np.float32(9.773657e-07), np.float32(6.811788e-05), np.float32(1.4110481e-05), np.float32(0.99991584)]"
2,2,"[np.float32(0.0001542807), np.float32(0.00048788413), np.float32(0.9961482), np.float32(0.002045493), np.float32(0.0011640771)]"
3,3,"[np.float32(5.455354e-08), np.float32(4.846404e-08), np.float32(4.3189495e-08), np.float32(0.99999976), np.float32(1.6176865e-07)]"
1,1,"[np.float32(1.014755e-05), np.float32(0.9996257), np.float32(0.0003610422), np.float32(4.29012e-07), np.float32(2.5768331e-06)]"
2,2,"[np.float32(6.6178795e-06), np.float32(1.3245077e-06), np.float32(0.9999579), np.float32(2.1183354e-05), np.float32(1.2868636e-05)]"
2,1,"[np.float32(9.1733076e-05), np.float32(0.9913823), np.float32(0.007317248), np.float32(0.0011967752), np.float32(1.1908907e-05)]"
1,1,"[np.float32(3.2306136e-05), np.float32(0.9998803), np.float32(4.518256e-05), np.float32(3.230863e-05), np.float32(9.944297e-06)]"
2,2,"[np.float32(6.910254e-05), np.float32(8.458772e-06), np.float32(0.99991393), np.float32(7.413723e-06), np.float32(1.0208836e-06)]"
2,2,"[np.float32(9.747758e-05), np.float32(0.00015165693), np.float32(0.99619484), np.float32(0.002841789), np.float32(0.0007141773)]"
2,2,"[np.float32(0.00015013694), np.float32(0.00107667), np.float32(0.9729181), np.float32(0.025662793), np.float32(0.00019233524)]"
3,3,"[np.float32(0.00011725777), np.float32(3.9141407e-05), np.float32(0.014069268), np.float32(0.9854387), np.float32(0.00033565226)]"
3,3,"[np.float32(7.817007e-07), np.float32(7.7261717e-07), np.float32(0.00012913374), np.float32(0.99986875), np.float32(6.195727e-07)]"
2,2,"[np.float32(0.0002034312), np.float32(0.0033385262), np.float32(0.99515414), np.float32(0.0012558092), np.float32(4.800873e-05)]"
2,2,"[np.float32(4.6909554e-05), np.float32(6.34918e-05), np.float32(0.9976574), np.float32(0.002124443), np.float32(0.00010778866)]"
0,0,"[np.float32(0.9996588), np.float32(8.476173e-05), np.float32(0.00022853455), np.float32(2.6418536e-05), np.float32(1.4058459e-06)]"
2,2,"[np.float32(1.1804572e-06), np.float32(4.1840843e-07), np.float32(0.99999416), np.float32(3.561111e-06), np.float32(7.0326166e-07)]"
1,1,"[np.float32(1.2852414e-06), np.float32(0.99974793), np.float32(9.8050305e-06), np.float32(0.00023994439), np.float32(1.036694e-06)]"
3,3,"[np.float32(3.620047e-06), np.float32(5.708826e-06), np.float32(2.0713496e-06), np.float32(0.99998724), np.float32(1.27216e-06)]"
1,1,"[np.float32(2.4675163e-07), np.float32(0.9999783), np.float32(2.021637e-05), np.float32(1.0562387e-06), np.float32(1.2219903e-07)]"
1,2,"[np.float32(0.00011165737), np.float32(0.012736469), np.float32(0.98511165), np.float32(0.001869901), np.float32(0.00017032404)]"
0,0,"[np.float32(0.9798473), np.float32(0.018447438), np.float32(0.0009846749), np.float32(0.0007000471), np.float32(2.0543552e-05)]"
3,3,"[np.float32(2.3386876e-07), np.float32(6.788518e-08), np.float32(4.5931552e-05), np.float32(0.9999535), np.float32(1.9527089e-07)]"
1,1,"[np.float32(0.0012168963), np.float32(0.95903355), np.float32(0.0055994717), np.float32(0.033951372), np.float32(0.00019866329)]"
1,1,"[np.float32(6.031761e-07), np.float32(0.999828), np.float32(0.00016894807), np.float32(1.9512316e-07), np.float32(2.3112798e-06)]"
3,3,"[np.float32(2.3085872e-06), np.float32(8.2617925e-07), np.float32(0.0010737894), np.float32(0.9989166), np.float32(6.4067767e-06)]"
3,2,"[np.float32(0.00042238028), np.float32(0.00019066088), np.float32(0.8730666), np.float32(0.12611717), np.float32(0.0002032761)]"
1,1,"[np.float32(9.9287504e-08), np.float32(0.99999225), np.float32(7.4001327e-06), np.float32(6.835491e-08), np.float32(9.599918e-08)]"
2,2,"[np.float32(0.001996073), np.float32(0.0004157904), np.float32(0.9407934), np.float32(0.052775726), np.float32(0.0040190653)]"
2,2,"[np.float32(9.157162e-05), np.float32(0.38249743), np.float32(0.59160316), np.float32(0.025527293), np.float32(0.0002805629)]"
3,3,"[np.float32(1.4684325e-05), np.float32(7.150679e-05), np.float32(0.0006224674), np.float32(0.9992478), np.float32(4.362122e-05)]"
4,4,"[np.float32(1.6850267e-06), np.float32(9.733307e-07), np.float32(2.7394999e-05), np.float32(7.3717947e-06), np.float32(0.99996257)]"
1,1,"[np.float32(4.456004e-07), np.float32(0.9999875), np.float32(1.1503787e-05), np.float32(1.1646195e-07), np.float32(3.125431e-07)]"
2,2,"[np.float32(7.628888e-05), np.float32(2.452425e-05), np.float32(0.997543), np.float32(0.002042959), np.float32(0.00031317511)]"
1,1,"[np.float32(0.0023082835), np.float32(0.94604474), np.float32(0.031418096), np.float32(0.0006054965), np.float32(0.019623384)]"
3,3,"[np.float32(2.5791716e-05), np.float32(2.7110187e-05), np.float32(0.016942358), np.float32(0.98294395), np.float32(6.0829225e-05)]"
0,0,"[np.float32(0.5406558), np.float32(0.00045092363), np.float32(0.4583054), np.float32(0.00027637096), np.float32(0.0003115597)]"
3,3,"[np.float32(3.676373e-06), np.float32(5.1878455e-06), np.float32(0.0015826985), np.float32(0.99837554), np.float32(3.2907043e-05)]"
2,2,"[np.float32(1.4666936e-05), np.float32(0.0001004167), np.float32(0.99968004), np.float32(0.00013295999), np.float32(7.183833e-05)]"
2,2,"[np.float32(2.392515e-06), np.float32(6.5058116e-06), np.float32(0.9999497), np.float32(2.2533597e-05), np.float32(1.88877e-05)]"
3,3,"[np.float32(8.7773245e-05), np.float32(0.00015817986), np.float32(0.018412769), np.float32(0.9804467), np.float32(0.00089458807)]"
3,3,"[np.float32(2.099339e-06), np.float32(2.8034927e-08), np.float32(2.5315856e-08), np.float32(0.99999785), np.float32(2.0303876e-08)]"
3,3,"[np.float32(0.0003764389), np.float32(0.007744866), np.float32(0.06597204), np.float32(0.8829122), np.float32(0.042994384)]"
2,2,"[np.float32(2.6903577e-05), np.float32(0.00012462746), np.float32(0.9997304), np.float32(0.00011434059), np.float32(3.8600215e-06)]"
1,2,"[np.float32(0.00010072084), np.float32(0.0056681423), np.float32(0.99415743), np.float32(4.440053e-05), np.float32(2.9249615e-05)]"
3,2,"[np.float32(0.0009843846), np.float32(0.004134474), np.float32(0.67887247), np.float32(0.28269157), np.float32(0.033317123)]"
3,3,"[np.float32(8.241242e-09), np.float32(2.7259275e-09), np.float32(3.0569336e-08), np.float32(1.0), np.float32(1.9190832e-08)]"
3,3,"[np.float32(2.3567101e-07), np.float32(1.1457573e-07), np.float32(2.1148917e-07), np.float32(0.99999905), np.float32(3.353281e-07)]"
0,0,"[np.float32(0.99986815), np.float32(6.74559e-05), np.float32(1.4405399e-05), np.float32(4.5564222e-05), np.float32(4.36744e-06)]"
3,3,"[np.float32(0.0028778699), np.float32(0.10454077), np.float32(0.009949068), np.float32(0.8513932), np.float32(0.03123906)]"
2,2,"[np.float32(3.2904907e-05), np.float32(4.782776e-05), np.float32(0.9977864), np.float32(0.0019085904), np.float32(0.00022418294)]"
2,2,"[np.float32(0.014178695), np.float32(0.018791584), np.float32(0.87316257), np.float32(0.05528094), np.float32(0.038586166)]"
3,3,"[np.float32(2.8972432e-05), np.float32(2.0904708e-05), np.float32(0.00041816998), np.float32(0.9995266), np.float32(5.3196018e-06)]"
3,3,"[np.float32(2.628008e-05), np.float32(0.00033052432), np.float32(0.10047353), np.float32(0.89855814), np.float32(0.0006115569)]"
1,1,"[np.float32(5.143854e-07), np.float32(0.99994123), np.float32(1.3911189e-05), np.float32(4.351562e-05), np.float32(8.7306364e-07)]"
2,2,"[np.float32(7.306482e-06), np.float32(0.013263928), np.float32(0.9866969), np.float32(1.4911838e-06), np.float32(3.0336269e-05)]"
1,1,"[np.float32(2.5817062e-07), np.float32(0.9999869), np.float32(1.1348653e-05), np.float32(1.4654399e-06), np.float32(1.7350501e-07)]"
2,2,"[np.float32(1.0088313e-05), np.float32(6.45543e-06), np.float32(0.9998753), np.float32(6.19705e-05), np.float32(4.6149686e-05)]"
3,3,"[np.float32(3.2567968e-07), np.float32(1.1404472e-06), np.float32(0.00533415), np.float32(0.99466383), np.float32(4.4650764e-07)]"
2,2,"[np.float32(3.520726e-06), np.float32(3.2849555e-06), np.float32(0.9998926), np.float32(9.387299e-05), np.float32(6.6233374e-06)]"
2,2,"[np.float32(4.8595895e-05), np.float32(0.00026145327), np.float32(0.98590684), np.float32(0.013034146), np.float32(0.00074897)]"
4,4,"[np.float32(3.7035427e-06), np.float32(6.5573215e-07), np.float32(6.5078195e-05), np.float32(9.804028e-07), np.float32(0.99992955)]"
2,2,"[np.float32(2.4737687e-07), np.float32(4.3234897e-07), np.float32(0.9999913), np.float32(7.5607536e-06), np.float32(4.556944e-07)]"
4,4,"[np.float32(3.1578276e-07), np.float32(9.692403e-07), np.float32(3.3077295e-06), np.float32(4.0959185e-06), np.float32(0.9999913)]"
2,1,"[np.float32(0.00021059556), np.float32(0.95951974), np.float32(0.0398918), np.float32(0.00020754403), np.float32(0.00017042272)]"
3,3,"[np.float32(2.6650676e-05), np.float32(9.887466e-06), np.float32(3.141871e-05), np.float32(0.99991393), np.float32(1.815021e-05)]"
2,2,"[np.float32(1.6140926e-05), np.float32(0.000105721665), np.float32(0.999785), np.float32(9.184697e-05), np.float32(1.3428771e-06)]"
1,1,"[np.float32(2.794862e-05), np.float32(0.993554), np.float32(0.0013974378), np.float32(0.0050029615), np.float32(1.7605404e-05)]"
3,3,"[np.float32(7.932995e-05), np.float32(0.0008730428), np.float32(0.0018629283), np.float32(0.99586844), np.float32(0.0013163823)]"
2,2,"[np.float32(9.2785e-06), np.float32(2.8969846e-05), np.float32(0.99924684), np.float32(0.0007139081), np.float32(1.1302319e-06)]"
2,2,"[np.float32(0.00042400818), np.float32(0.00013697494), np.float32(0.98787594), np.float32(0.010818733), np.float32(0.0007442768)]"
3,2,"[np.float32(0.0007573017), np.float32(0.13393117), np.float32(0.4774045), np.float32(0.38766515), np.float32(0.000241894)]"
